Comment			
voltage(mV)		Control	.+Bup	diff
-127.446		-217.895	-138.336	-79.559
-127.253		-217.875	-133.331	-84.544
-127.157		-223.49		-130.356	-93.134
-126.988		-217.407	-136.475	-80.932
-126.892		-218.608	-137.009	-81.599
-126.787		-205.444	-145.02		-60.424
-126.591		-211.69		-129.471	-82.219
-126.402		-224.223	-140.03		-84.193
-126.366		-233.846	-140.167	-93.679
-126.132		-239.705	-123.947	-115.758
-125.973		-229.757	-118.973	-110.784
-125.845		-210.734	-128.281	-82.453
-125.733		-231.669	-121.14		-110.529
-125.562		-227.376	-117.752	-109.624
-125.444		-225.525	-107.193	-118.332
-125.269		-209.066	-111.755	-97.311
-125.108		-199.015	-116.821	-82.194
-124.968		-209.025	-116.196	-92.829
-124.801		-202.108	-125.58		-76.528
-124.728		-206.807	-123.062	-83.745
-124.571		-198.283	-125.885	-72.398
-124.408		-212.626	-125.687	-86.939
-124.223		-220.683	-126.236	-94.447
-124.085		-193.522	-128.22		-65.302
-123.916		-207.316	-121.887	-85.429
-123.91			-204.488	-126.709	-77.779
-123.615		-213.501	-125.244	-88.257
-123.525		-219.584	-130.951	-88.633
-123.383		-205.749	-133.469	-72.28
-123.263		-213.338	-138.351	-74.987
-123.11			-209.757	-125.381	-84.376
-122.954		-211.711	-118.759	-92.952
-122.779		-219.666	-123.138	-96.528
-122.689		-227.539	-115.906	-111.633
-122.506		-218.709	-112.9		-105.809
-122.351		-220.378	-113.48		-106.898
-122.223		-208.577	-125.656	-82.921
-122.156		-208.883	-117.599	-91.284
-121.961		-186.869	-94.2535	-92.6155
-121.827		-201.986	-105.118	-96.868
-121.696		-195.516	-124.527	-70.989
-121.491		-167.501	-115.448	-52.053
-121.401		-177.165	-110.794	-66.371
-121.169		-189.779	-110.855	-78.924
-121.08			-212.219	-110.504	-101.715
-120.944		-192.403	-119.629	-72.774
-120.801		-213.135	-112.579	-100.556
-120.655		-221.781	-109.543	-112.238
-120.539		-216.838	-115.341	-101.497
-120.35			-213.013	-116.791	-96.222
-120.248		-203.756	-118.103	-85.653
-120.044		-189.107	-112.198	-76.909
-119.928		-196.452	-119.278	-77.174
-119.762		-207.275	-105.423	-101.852
-119.585		-188.721	-114.304	-74.417
-119.456		-209.29		-121.49		-87.8
-119.33			-207.377	-133.56		-73.817
-119.233		-204.895	-127.655	-77.24
-119.096		-196.574	-123.81		-72.764
-118.889		-196.96		-121.368	-75.592
-118.793		-206.38		-128.677	-77.703
-118.569		-194.743	-113.571	-81.172
-118.447		-197.205	-113.586	-83.619
-118.35			-193.848	-107.483	-86.365
-118.205		-193.949	-109.955	-83.994
-118.051		-195.028	-104.065	-90.963
-117.839		-212.138	-111.13		-101.008
-117.733		-196.106	-118.393	-77.713
-117.638		-188.11		-115.25		-72.86
-117.471		-205.851	-114.777	-91.074
-117.263		-205.566	-106.842	-98.724
-117.178		-190.124	-106.293	-83.831
-117.017		-193.746	-118.317	-75.429
-116.889		-200.155	-117.508	-82.647
-116.696		-214.579	-105.057	-109.522
-116.669		-210.653	-107.208	-103.445
-116.388		-209.554	-113.693	-95.861
-116.325		-202.535	-127.96		-74.575
-116.142		-203.491	-129.486	-74.005
-116.002		-206.116	-123.26		-82.856
-115.845		-210.47		-107.01		-103.46
-115.729		-202.108	-105.438	-96.67
-115.548		-208.252	-112.427	-95.825
-115.457		-198.893	-110.886	-88.007
-115.292		-196.757	-104.858	-91.899
-115.103		-195.74		-104.767	-90.973
-115.007		-206.767	-112.442	-94.325
-114.921		-197.001	-116.44		-80.561
-114.724		-205.648	-117.828	-87.82
-114.576		-204.59		-110.977	-93.613
-114.443		-197.347	-104.98		-92.367
-114.264		-188.965	-115.417	-73.548
-114.183		-196.716	-114.593	-82.123
-113.967		-216.105	-105.118	-110.987
-113.861		-223.45		-109.787	-113.663
-113.65			-219.462	-109.68		-109.782
-113.487		-208.679	-109.543	-99.136
-113.351		-198.608	-108.078	-90.53
-113.308		-200.704	-115.295	-85.409
-113.066		-205.546	-111.313	-94.233
-112.964		-197.428	-106.079	-91.349
-112.822		-198.629	-106.598	-92.031
-112.74			-203.857	-100.418	-103.439
-112.488		-194.153	-97.5494	-96.6036
-112.384		-206.665	-104.507	-102.158
-112.238		-199.768	-118.256	-81.512
-112.087		-218.424	-107.376	-111.048
-111.965		-217.183	-110.428	-106.755
-111.935		-206.868	-115.753	-91.115
-111.735		-196.757	-119.522	-77.235
-111.465		-185.425	-120.499	-64.926
-111.361		-190.063	-122.116	-67.947
-111.274		-188.07		-117.767	-70.303
-111.119		-199.768	-126.221	-73.547
-110.983		-217.957	-122.208	-95.749
-110.836		-214.478	-121.094	-93.384
-110.647		-210.632	-126.48		-84.152
-110.433		-206.726	-122.818	-83.908
-110.348		-203.634	-116.562	-87.072
-110.23			-209.676	-105.164	-104.512
-110.079		-217		-107.452	-109.548
-109.9797		-227.824	-106.628	-121.196
-109.8169		-220.642	-109.802	-110.84
-109.6419		-214.071	-114.944	-99.127
-109.4425		-213.074	-116.455	-96.619
-109.4059		-224.243	-110.413	-113.83
-109.1842		-218.994	-123.459	-95.535
-109.0662		-214.376	-117.63		-96.746
-108.8627		-221.985	-117.92		-104.065
-108.7223		-213.013	-115.677	-97.336
-108.586		-217.387	-120.529	-96.858
-108.4273		-203.573	-132.706	-70.867
-108.3622		-206.807	-130.371	-76.436
-108.1649		-191.406	-115.875	-75.531
-108.0489		-207.235	-123.993	-83.242
-107.9309		-215.474	-126.343	-89.131
-107.7254		-221.883	-118.835	-103.048
-107.6196		-212.87		-115.86		-97.01
-107.467		-213.338	-112.518	-100.82
-107.2941		-216.166	-121.597	-94.569
-107.1598		-218.953	-123.962	-94.991
-107.0256		-211.365	-118.179	-93.186
-106.9503		-227.193	-113.922	-113.271
-106.7			-227.315	-119.171	-108.144
-106.6715		-233.256	-120.193	-113.063
-106.4945		-220.093	-111.16		-108.933
-106.3298		-209.839	-115.921	-93.918
-106.2016		-211.487	-113.647	-97.84
-105.9757		-212.992	-102.432	-110.56
-105.8822		-212.748	-111.694	-101.054
-105.7499		-219.381	-105.591	-113.79
-105.6685		-215.393	-107.834	-107.559
-105.4386		-217.733	-114.838	-102.895
-105.3695		-232.34		-110.916	-121.424
-105.1457		-238.281	-99.9756	-138.3054
-105.0114		-225.26		-93.3838	-131.8762
-104.8873		-233.114	-92.8497	-140.2643
-104.7062		-223.165	-97.6562	-125.5088
-104.6045		-223.002	-103.638	-119.364
-104.3868		-225.83		-105.347	-120.483
-104.399		-234.029	-104.752	-129.277
-104.1508		-226.807	-109.36		-117.447
-103.9941		-239.502	-126.877	-112.625
-103.8883		-215.23		-121.033	-94.197
-103.7113		-213.969	-110.321	-103.648
-103.5506		-216.37		-115.005	-101.365
-103.396		-208.15		-119.705	-88.445
-103.3553		-204.061	-120.407	-83.654
-103.1356		-207.092	-116.257	-90.835
-103.0501		-206.278	-118.195	-88.083
-102.8426		-195.821	-116.043	-79.778
-102.7185		-203.512	-116.043	-87.469
-102.629		-205.749	-117.126	-88.623
-102.4581		-195.76		-116.089	-79.671
-102.218		-214.396	-119.354	-95.042
-102.1163		-207.56		-120.56		-87
-101.982		-198.995	-115.036	-83.959
-101.8274		-200.338	-114.151	-86.187
-101.6545		-181.681	-109.695	-71.986
-101.5324		-186.849	-105.118	-81.731
-101.4022		-179.871	-105.576	-74.295
-101.274		-181.763	-118.149	-63.614
-101.0889		-185.893	-115.662	-70.231
-100.9729		-203.328	-118.835	-84.493
-100.8081		-196.065	-104.782	-91.283
-100.6942		-198.608	-104.919	-93.689
-100.566		-201.355	-105.194	-96.161
-100.3666		-194.112	-113.8		-80.312
-100.2466		-209.473	-109.024	-100.449
-100.0452		-213.338	-106.171	-107.167
-100.0208		-201.457	-108.231	-93.226
-99.801			-199.849	-108.78		-91.069
-99.6464		-194.478	-117.233	-77.245
-99.5304		-205.607	-118.408	-87.199
-99.3311		-201.742	-105.698	-96.044
-99.1846		-204.793	-107.239	-97.554
-99.0706		-194.865	-116.241	-78.624
-98.8875		-210.002	-111.679	-98.323
-98.8			-213.806	-114.166	-99.64
-98.6637		-216.39		-109.955	-106.435
-98.4989		-207.906	-109.543	-98.363
-98.3484		-207.621	-99.7467	-107.8743
-98.206			-200.948	-103.882	-97.066
-98.0127		-192.973	-107.422	-85.551
-97.9069		-188.192	-103.241	-84.951
-97.8255		-187.764	-112.503	-75.261
-97.6302		-192.078	-109.65		-82.428
-97.5366		-179.464	-110.855	-68.609
-97.4613		-186.686	-107.3		-79.386
-97.2457		-181.844	-103.622	-78.222
-97.0097		-184.57		-101.501	-83.069
-96.8917		-189.657	-104.019	-85.638
-96.7635		-204.407	-113.617	-90.79
-96.5865		-186.157	-114.624	-71.533
-96.4604		-192.586	-106.293	-86.293
-96.3586		-181.335	-106.171	-75.164
-96.1979		-187.948	-102.509	-85.439
-96.0291		-186.117	-102.982	-83.135
-95.9477		-190.877	-102.173	-88.704
-95.7564		-192.098	-104.156	-87.942
-95.5896		-195.109	-92.987		-102.122
-95.4777		-188.11		-92.6666	-95.4434
-95.3109		-191.833	-95.6421	-96.1909
-95.1359		-200.684	-97.3663	-103.3177
-94.9996		-194.214	-100.403	-93.811
-94.9447		-186.483	-106.079	-80.404
-94.731			-188.985	-95.9015	-93.0835
-94.609			-189.534	-94.8639	-94.6701
-94.432			-198.914	-98.9837	-99.9303
-94.3038		-199.971	-93.7347	-106.2363
-94.1512		-193.359	-89.2944	-104.0646
-93.9742		-195.251	-89.9963	-105.2547
-93.9213		-196.147	-90.7593	-105.3877
-93.7077		-189.982	-96.4966	-93.4854
-93.5592		-188.253	-91.8274	-96.4256
-93.4839		-184.469	-92.7887	-91.6803
-93.3171		-182.251	-90.5304	-91.7206
-93.1299		-178.731	-86.4868	-92.2442
-92.9549		-172.689	-88.913		-83.776
-92.8044		-180.4		-91.507		-88.893
-92.6986		-189.473	-91.8121	-97.6609
-92.5562		-191.305	-96.9391	-94.3659
-92.4483		-196.025	-105.56		-90.465
-92.251			-193.746	-98.3581	-95.3879
-92.137			-192.444	-94.8334	-97.6106
-92.0068		-205.526	-94.0704	-111.4556
-91.8481		-207.845	-92.5293	-115.3157
-91.7017		-195.292	-95.4895	-99.8025
-91.5308		-183.533	-99.2279	-84.3051
-91.4209		-185.242	-99.8535	-85.3885
-91.2337		-175.496	-95.1691	-80.3269
-91.1686		-178.711	-99.4873	-79.2237
-90.9489		-181.885	-101.364	-80.521
-90.9062		-194.702	-100.098	-94.604
-90.6478		-186.096	-87.4634	-98.6326
-90.5298		-179.993	-77.774		-102.219
-90.4138		-176.778	-85.022		-91.756
-90.2531		-174.154	-81.7413	-92.4127
-90.0964		-182.638	-85.8307	-96.8073
-89.9398		-179.016	-91.7053	-87.3107
-89.8869		-172.526	-88.4552	-84.0708
-89.6305		-178.08		-90.6372	-87.4428
-89.4861		-193.583	-84.9609	-108.6221
-89.3742		-190.084	-80.8258	-109.2582
-89.2013		-191.305	-71.0754	-120.2296
-89.069			-185.669	-82.2296	-103.4394
-88.9164		-176.188	-93.399		-82.789
-88.8106		-189.758	-89.035		-100.723
-88.6987		-186.991	-90.3931	-96.5979
-88.5217		-184.367	-92.865		-91.502
-88.4058		-179.423	-103.241	-76.182
-88.2633		-189.087	-99.5025	-89.5845
-88.0741		-179.057	-95.5658	-83.4912
-87.8951		-176.29		-99.5941	-76.6959
-87.7832		-174.052	-98.6633	-75.3887
-87.6957		-177.043	-88.0737	-88.9693
-87.5126		-175.598	-90.0421	-85.5559
-87.3132		-175.863	-87.3413	-88.5217
-87.1973		-191.956	-86.441		-105.515
-87.0854		-181.864	-87.3413	-94.5227
