time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0.2045					-57.9468	-15.2588	-72.3267	-30.2124    -42.1143
0.205					-57.8369	-13.7329	-71.7163	-29.2969    -42.4194
0.2055					-57.7332	-14.6484	-70.4956	-27.4658    -43.0298
0.206					-57.6172	-16.1743	-67.1387	-28.9917    -38.147
0.2065					-57.5195	-15.564		-69.8853	-32.6538    -37.2315
0.207					-57.4219	-14.3433	-65.3076	-32.0435    -33.2641
0.2075					-57.3364	-17.0898	-69.2749	-25.3296    -43.9453
0.208					-57.2693	-14.3433	-67.1387	-28.9917    -38.147
0.2085					-57.135		-15.564		-75.3784	-27.1606    -48.2178
0.209					-57.0496	-13.4277	-74.1577	-24.1089    -50.0488
0.2095					-56.9458	-15.8691	-65.918		-28.0762    -37.8418
0.21					-56.8298	-14.0381	-73.2422	-30.8228    -42.4194
0.2105					-56.7444	-17.395		-73.2422	-31.4331    -41.8091
0.211					-56.6528	-13.4277	-75.0732	-29.9072    -45.166
0.2115					-56.543		-14.0381	-67.1387	-32.0435    -35.0952
0.212					-56.4453	-17.0898	-67.1387	-28.0762    -39.0625
0.2125					-56.3477	-14.0381	-70.1904	-30.2124    -39.978
0.213					-56.2256	-15.564		-67.1387	-28.0762    -39.0625
0.2135					-56.1523	-16.4795	-69.5801	-23.4985    -46.0816
0.214					-56.0242	-13.1226	-65.6128	-26.5503    -39.0625
0.2145					-55.9265	-14.0381	-69.8853	-25.6348    -44.2505
0.215					-55.8289	-14.6484	-69.2749	-23.8037    -45.4712
0.2155					-55.7251	-17.395		-63.7817	-26.5503    -37.2314
0.216					-55.6335	-15.2588	-61.9507	-27.771	    -34.1797
0.2165					-55.5542	-15.2588	-60.4248	-24.1089    -36.3159
0.217					-55.426		-17.7002	-63.1714	-29.9072    -33.2642
0.2175					-55.3528	-13.7329	-64.3921	-26.8555    -37.5366
0.218					-55.2551	-15.8691	-64.3921	-23.1934    -41.1987
0.2185					-55.1514	-17.0898	-64.3921	-24.7192    -39.6729
0.219					-55.0537	-16.1743	-62.2559	-26.5503    -35.7056
0.2195					-54.95		-11.2915	-62.2559	-25.3296    -36.9263
0.22					-54.8401	-12.8174	-58.5938	-21.6675    -36.9263
0.2205					-54.7241	-15.8691	-61.9507	-24.4141    -37.5366
0.221					-54.657		-13.4277	-69.2749	-21.6675    -47.6074
0.2215					-54.5532	-12.207		-65.6128	-23.8037    -41.8091
0.222					-54.425		-15.2588	-65.0024	-24.7192    -40.2832
0.2225					-54.3457	-14.0381	-62.8662	-23.8037    -39.0625
0.223					-54.2542	-12.207		-60.73		-24.1089    -36.6211
0.2235					-54.1504	-14.0381	-61.9507	-26.8555    -35.0952
0.224					-54.0405	-14.9536	-68.3594	-21.3623    -46.9971
0.2245					-53.9429	-14.6484	-62.561		-25.3296    -37.2314
0.225					-53.8574	-15.2588	-60.1196	-20.1416    -39.978
0.2255					-53.7415	-13.1226	-64.0869	-22.8882    -41.1987
0.226					-53.6438	-16.4795	-62.8662	-21.0571    -41.8091
0.2265					-53.5645	-11.9019	-62.2559	-20.752	    -41.5039
0.227					-53.4546	-14.6484	-57.9834	-24.7192    -33.2642
0.2275					-53.3569	-13.4277	-60.4248	-23.8037    -36.6211
0.228					-53.2349	-12.5122	-56.4575	-23.8037    -32.6538
0.2285					-53.1433	-14.3433	-56.1523	-22.8882    -33.2641
0.229					-53.064		-14.0381	-57.0679	-19.8364    -37.2315
0.2295					-52.9358	-11.2915	-51.8799	-22.8882    -28.9917
0.23					-52.8503	-13.1226	-54.9316	-21.0571    -33.8745
0.2305					-52.7344	-13.7329	-51.5747	-25.6348    -25.9399
0.231					-52.655		-12.8174	-54.9316	-20.4468    -34.4848
0.2315					-52.5574	-12.5122	-56.7627	-21.6675    -35.0952
0.232					-52.4597	-10.6812	-57.9834	-18.9209    -39.0625
0.2325					-52.3499	-12.5122	-57.0679	-20.1416    -36.9263
0.233					-52.2461	-12.5122	-56.7627	-21.0571    -35.7056
0.2335					-52.1606	-13.4277	-56.1523	-22.583	    -33.5693
0.234					-52.0508	-11.9019	-54.6265	-21.3623    -33.2642
0.2345					-51.9409	-11.2915	-50.0488	-21.9727    -28.0761
0.235					-51.8494	-12.8174	-50.9644	-23.1934    -27.771
0.2355					-51.7456	-12.5122	-50.9644	-22.583	    -28.3814
0.236					-51.6541	-14.3433	-53.4058	-25.0244    -28.3814
0.2365					-51.5625	-12.5122	-53.4058	-21.3623    -32.0435
0.237					-51.4465	-11.9019	-52.1851	-19.8364    -32.3487
0.2375					-51.3306	-18.0054	-58.2886	-22.583	    -35.7056
0.238					-51.2512	-11.5967	-59.8145	-18.6157    -41.1988
0.2385					-51.1353	-14.6484	-57.9834	-18.0054    -39.978
0.239					-51.062		-11.2915	-58.8989	-20.4468    -38.4521
0.2395					-50.9644	-10.6812	-55.2368	-19.2261    -36.0107
0.24					-50.8667	-11.5967	-51.8799	-21.6675    -30.2124
0.2405					-50.769		-14.3433	-56.4575	-20.752	    -35.7055
0.241					-50.647		-12.8174	-57.9834	-18.9209    -39.0625
0.2415					-50.5554	-12.8174	-58.5938	-20.1416    -38.4522
0.242					-50.4578	-11.2915	-55.2368	-18.9209    -36.3159
0.2425					-50.3662	-11.5967	-57.373		-20.1416    -37.2314
0.243					-50.2563	-13.1226	-53.7109	-18.3105    -35.4004
0.2435					-50.1587	-13.7329	-50.9644	-22.2778    -28.6866
0.244					-50.0488	-11.5967	-54.9316	-19.2261    -35.7055
0.2445					-49.9756	-11.2915	-56.4575	-18.6157    -37.8418
0.245					-49.8718	-7.93457	-61.3403	-18.6157    -42.7246
0.2455					-49.7681	-9.46045	-53.7109	-21.3623    -32.3486
0.246					-49.6826	-14.3433	-50.6592	-18.9209    -31.7383
0.2465					-49.5728	-14.6484	-54.3213	-19.5313    -34.79
0.247					-49.4507	-13.1226	-50.0488	-17.7002    -32.3486
0.2475					-49.3774	-11.5967	-50.9644	-18.6157    -32.3487
0.248					-49.2676	-12.5122	-51.5747	-18.6157    -32.959
0.2485					-49.176		-12.5122	-52.4902	-18.3105    -34.1797
0.249					-49.0723	-10.0708	-51.5747	-18.3105    -33.2642
0.2495					-48.9563	-12.207		-53.7109	-18.3105    -35.4004
0.25					-48.8708	-14.0381	-54.9316	-19.5313    -35.4003
0.2505					-48.761		-14.3433	-52.4902	-14.0381    -38.4521
0.251					-48.6755	-12.207		-56.1523	-19.5313    -36.621
0.2515					-48.5779	-14.3433	-49.7437	-17.395	    -32.3487
0.252					-48.4741	-12.207		-48.2178	-20.1416    -28.0762
0.2525					-48.3826	-12.207		-46.0815	-14.0381    -32.0434
0.253					-48.2666	-8.8501		-49.7437	-17.395	    -32.3487
0.2535					-48.1689	-9.76563	-52.7954	-18.0054    -34.79
0.254					-48.053		-13.4277	-49.7437	-18.0054    -31.7383
0.2545					-47.9492	-12.207		-47.3022	-18.0054    -29.2968
0.255					-47.8455	-12.5122	-42.7246	-17.395	    -25.3296
0.2555					-47.7844	-12.8174	-50.9644	-16.7847    -34.1797
0.256					-47.6685	-11.5967	-49.1333	-20.4468    -28.6865
0.2565					-47.5708	-12.8174	-45.7764	-17.0898    -28.6866
0.257					-47.4731	-11.9019	-48.8281	-18.0054    -30.8227
0.2575					-47.3755	-13.7329	-50.354		-19.5313    -30.8227
0.258					-47.2656	-12.5122	-52.7954	-21.0571    -31.7383
0.2585					-47.1863	-12.207		-46.6919	-20.4468    -26.2451
0.259					-47.0581	-12.8174	-43.335		-20.1416    -23.1934
0.2595					-46.9604	-11.5967	-47.6074	-19.8364    -27.771
0.26					-46.8811	-13.4277	-45.4712	-18.6157    -26.8555
0.2605					-46.7712	-8.54492	-45.166		-18.3105    -26.8555
0.261					-46.6614	-11.9019	-42.7246	-19.2261    -23.4985
0.2615					-46.5637	-11.2915	-44.2505	-21.0571    -23.1934
0.262					-46.4722	-8.8501		-46.9971	-14.9536    -32.0435
0.2625					-46.3684	-11.2915	-43.9453	-18.3105    -25.6348
0.263					-46.283		-10.376		-42.1143	-14.9536    -27.1607
0.2635					-46.1609	-9.76563	-42.7246	-18.0054    -24.7192
0.264					-46.0815	-11.9019	-46.0815	-17.7002    -28.3813
0.2645					-45.9717	-9.76563	-46.3867	-16.4795    -29.9072
0.265					-45.8679	-12.8174	-46.6919	-17.7002    -28.9917
0.2655					-45.7825	-9.76563	-45.7764	-18.9209    -26.8555
0.266					-45.6848	-11.2915	-43.9453	-19.5313    -24.414
0.2665					-45.5627	-11.9019	-43.0298	-18.3105    -24.7193
0.267					-45.4895	-12.207		-39.6729	-17.395	    -22.2779
0.2675					-45.3674	-14.9536	-43.0298	-17.0898    -25.94
0.268					-45.2637	-13.1226	-38.147		-19.2261    -18.9209
0.2685					-45.1721	-11.5967	-45.166		-16.4795    -28.6865
0.269					-45.0684	-12.8174	-42.7246	-19.5313    -23.1933
0.2695					-44.9707	-14.0381	-42.1143	-16.7847    -25.3296
0.27					-44.8853	-10.9863	-42.1143	-17.0898    -25.0245
0.2705					-44.7876	-11.2915	-46.6919	-18.9209    -27.771
0.271					-44.6533	-12.207		-41.5039	-18.0054    -23.4985
0.2715					-44.5618	-12.207		-40.5884	-20.752	    -19.8364
0.272					-44.4885	-10.6812	-41.8091	-18.6157    -23.1934
0.2725					-44.3726	-12.207		-39.978		-17.7002    -22.2778
0.273					-44.2627	-12.8174	-42.1143	-21.0571    -21.0572
0.2735					-44.165		-9.46045	-40.8936	-15.2588    -25.6348
0.274					-44.0857	-11.2915	-40.2832	-16.4795    -23.8037
0.2745					-43.988		-11.2915	-40.5884	-18.6157    -21.9727
0.275					-43.8721	-11.9019	-37.5366	-16.7847    -20.7519
0.2755					-43.7866	-10.6812	-37.8418	-16.4795    -21.3623
0.276					-43.6829	-13.4277	-36.6211	-17.395	    -19.2261
0.2765					-43.5669	-10.9863	-39.978		-17.7002    -22.2778
0.277					-43.4692	-9.76563	-39.0625	-18.3105    -20.752
0.2775					-43.3838	-10.9863	-37.8418	-17.395	    -20.4468
0.278					-43.2861	-10.9863	-38.7573	-15.564	    -23.1933
0.2785					-43.1946	-9.46045	-37.8418	-15.2588    -22.583
0.279					-43.0603	-12.5122	-37.5366	-13.7329    -23.8037
0.2795					-42.981		-9.15527	-39.3677	-17.7002    -21.6675
0.28					-42.8711	-10.0708	-39.6729	-15.2588    -24.4141
0.2805					-42.7856	-11.2915	-40.8936	-10.376	    -30.5176
0.281					-42.6697	-9.46045	-33.5693	-13.1226    -20.4467
0.2815					-42.5659	-13.4277	-37.8418	-14.0381    -23.8037
0.282					-42.4683	-12.5122	-37.5366	-15.2588    -22.2778
0.2825					-42.3828	-9.46045	-41.5039	-18.3105    -23.1934
0.283					-42.2791	-10.9863	-39.3677	-14.9536    -24.4141
0.2835					-42.1753	-11.9019	-35.7056	-15.2588    -20.4468
0.284					-42.0776	-11.2915	-39.3677	-13.7329    -25.6348
0.2845					-41.9922	-8.23975	-34.4849	-14.6484    -19.8365
0.285					-41.9006	-9.76563	-35.4004	-19.2261    -16.1743
0.2855					-41.803		-9.46045	-36.6211	-18.9209    -17.7002
0.286					-41.687		-10.9863	-36.9263	-17.395	    -19.5313
0.2865					-41.571		-9.76563	-37.2314	-19.2261    -18.0053
0.287					-41.4978	-11.2915	-39.0625	-13.7329    -25.3296
0.2875					-41.4185	-11.9019	-37.2314	-15.2588    -21.9726
0.288					-41.2903	-9.46045	-38.147		-18.3105    -19.8365
0.2885					-41.2048	-10.376		-35.7056	-18.6157    -17.0899
0.289					-41.0828	-10.376		-34.79		-16.1743    -18.6157
0.2895					-40.979		-12.207		-33.5693	-15.8691    -17.7002
0.29					-40.8813	-10.6812	-33.2642	-15.564	    -17.7002
0.2905					-40.7837	-13.7329	-31.7383	-14.3433    -17.395
0.291					-40.7043	-10.376		-35.0952	-14.6484    -20.4468
0.2915					-40.5823	-11.2915	-31.7383	-16.7847    -14.9536
0.292					-40.4968	-9.46045	-35.4004	-18.0054    -17.395
0.2925					-40.3809	-11.5967	-36.6211	-17.7002    -18.9209
0.293					-40.2893	-8.23975	-39.6729	-13.4277    -26.2452
0.2935					-40.1855	-11.5967	-35.4004	-16.4795    -18.9209
0.294					-40.0879	-10.376		-31.7383	-15.564	    -16.1743
0.2945					-39.9841	-5.79834	-35.4004	-15.564	    -19.8364
0.295					-39.8987	-11.2915	-31.1279	-18.6157    -12.5122
0.2955					-39.7949	-10.6812	-31.1279	-18.0054    -13.1225
0.296					-39.6729	-12.8174	-35.7056	-15.564	    -20.1416
0.2965					-39.5813	-10.6812	-32.0435	-15.564	    -16.4795
0.297					-39.5081	-8.54492	-36.6211	-18.3105    -18.3106
0.2975					-39.386		-11.2915	-36.0107	-15.564	    -20.4467
0.298					-39.2822	-10.0708	-36.9263	-15.2588    -21.6675
0.2985					-39.1846	-10.9863	-31.7383	-18.6157    -13.1226
0.299					-39.0991	-8.8501		-34.4849	-14.3433    -20.1416
0.2995					-39.0076	-8.8501		-35.7056	-16.4795    -19.2261
0.3					-38.8855	-10.6812	-37.8418	-18.9209    -18.9209
0.3005					-38.8062	-7.01904	-38.147		-17.7002    -20.4468
0.301					-38.6963	-10.376		-36.0107	-18.3105    -17.7002
0.3015					-38.5864	-8.23975	-37.2314	-14.3433    -22.8881
0.302					-38.4888	-10.376		-38.147		-18.3105    -19.8365
0.3025					-38.4094	-10.0708	-36.3159	-17.395	    -18.9209
0.303					-38.3118	-9.76563	-35.4004	-17.395	    -18.0054
0.3035					-38.2202	-7.32422	-36.3159	-16.7847    -19.5312
0.304					-38.092		-10.9863	-34.1797	-16.4795    -17.7002
0.3045					-38.0188	-6.71387	-37.8418	-12.8174    -25.0244
0.305					-37.8967	-9.46045	-36.0107	-16.7847    -19.226
0.3055					-37.8052	-10.376		-36.0107	-17.7002    -18.3105
0.306					-37.6831	-9.76563	-34.1797	-14.3433    -19.8364
0.3065					-37.5854	-10.0708	-33.8745	-17.0898    -16.7847
0.307					-37.4939	-11.5967	-31.4331	-16.1743    -15.2588
0.3075					-37.4023	-7.93457	-33.8745	-14.9536    -18.9209
0.308					-37.2986	-8.54492	-34.1797	-17.7002    -16.4795
0.3085					-37.2009	-10.376		-29.2969	-15.564	    -13.7329
0.309					-37.1033	-10.0708	-33.2642	-15.564	    -17.7002
0.3095					-37.0117	-8.8501		-30.5176	-14.0381    -16.4795
0.31					-36.9141	-10.6812	-30.5176	-15.8691    -14.6485
0.3105					-36.8164	-9.46045	-34.4849	-16.1743    -18.3106
0.311					-36.7065	-7.62939	-32.0435	-13.1226    -18.9209
0.3115					-36.5967	-12.5122	-29.6021	-13.7329    -15.8692
0.312					-36.5234	-9.76563	-31.1279	-14.3433    -16.7846
0.3125					-36.438		-8.23975	-30.8228	-12.5122    -18.3106
0.313					-36.3098	-10.0708	-30.2124	-15.564	    -14.6484
0.3135					-36.2183	-7.62939	-26.2451	-15.2588    -10.9863
0.314					-36.1023	-9.46045	-27.1606	-13.1226    -14.038
0.3145					-35.9863	-8.8501		-28.6865	-15.564	    -13.1225
0.315					-35.8948	-9.76563	-25.3296	-16.1743    -9.1553
0.3155					-35.791		-7.93457	-31.1279	-16.7847    -14.3432
0.316					-35.7239	-10.376		-31.1279	-12.5122    -18.6157
0.3165					-35.6018	-8.8501		-32.3486	-18.6157    -13.7329
0.317					-35.5164	-9.46045	-35.0952	-17.7002    -17.395
0.3175					-35.3943	-10.9863	-33.5693	-18.9209    -14.6484
0.318					-35.3027	-6.10352	-31.1279	-14.9536    -16.1743
0.3185					-35.2051	-9.76563	-32.3486	-17.7002    -14.6484
0.319					-35.1013	-6.40869	-34.1797	-16.7847    -17.395
0.3195					-35.0037	-8.54492	-32.3486	-16.4795    -15.8691
0.32					-34.9182	-7.01904	-29.9072	-14.3433    -15.5639
0.3205					-34.8083	-8.23975	-28.9917	-17.0898    -11.9019
0.321					-34.6924	-8.8501		-34.4849	-13.7329    -20.752
0.3215					-34.5947	-7.62939	-28.9917	-17.0898    -11.9019
0.322					-34.5215	-8.23975	-31.1279	-14.3433    -16.7846
0.3225					-34.3933	-9.15527	-32.3486	-15.564	    -16.7846
0.323					-34.2896	-8.23975	-30.8228	-17.395	    -13.4278
0.3235					-34.198		-9.76563	-28.6865	-15.8691    -12.8174
0.324					-34.1064	-9.15527	-25.6348	-15.8691    -9.7657
0.3245					-34.0149	-8.8501		-28.6865	-14.9536    -13.7329
0.325					-33.8989	-8.8501		-29.6021	-14.6484    -14.9537
0.3255					-33.8196	-9.15527	-31.4331	-14.9536    -16.4795
0.326					-33.7158	-7.62939	-32.0435	-14.0381    -18.0054
0.3265					-33.6121	-8.23975	-26.5503	-11.2915    -15.2588
0.327					-33.5083	-8.54492	-22.583		-11.2915    -11.2915
0.3275					-33.4229	-5.49316	-24.4141	-11.9019    -12.5122
0.328					-33.3191	-7.62939	-26.2451	-14.0381    -12.207
0.3285					-33.2275	-7.93457	-29.2969	-15.2588    -14.0381
0.329					-33.0994	-8.8501		-28.3813	-14.9536    -13.4277
0.3295					-33.02		-7.32422	-29.9072	-15.8691    -14.0381
0.33					-32.9041	-9.76563	-25.6348	-13.1226    -12.5122
0.3305					-32.8247	-6.71387	-27.1606	-13.4277    -13.7329
0.331					-32.7087	-7.93457	-22.2778	-14.9536    -7.3242
0.3315					-32.6111	-10.6812	-23.8037	-11.9019    -11.9018
0.332					-32.5195	-9.15527	-25.0244	-11.9019    -13.1225
0.3325					-32.428		-5.18799	-26.2451	-14.9536    -11.2915
0.333					-32.2937	-8.23975	-28.3813	-15.564	    -12.8173
0.3335					-32.2266	-6.40869	-25.0244	-16.1743    -8.8501
0.334					-32.0984	-11.9019	-27.4658	-13.7329    -13.7329
0.3345					-32.0129	-6.10352	-25.9399	-12.5122    -13.4277
0.335					-31.9031	-6.40869	-25.3296	-15.2588    -10.0708
0.3355					-31.8115	-9.15527	-27.4658	-14.0381    -13.4277
0.336					-31.7017	-7.32422	-27.771		-11.9019    -15.8691
0.3365					-31.6284	-6.71387	-29.6021	-12.5122    -17.0899
0.337					-31.5125	-7.62939	-24.1089	-14.3433    -9.7656
0.3375					-31.4148	-7.62939	-27.1606	-11.5967    -15.5639
0.338					-31.3354	-4.57764	-26.2451	-12.8174    -13.4277
0.3385					-31.2012	-9.15527	-28.6865	-11.9019    -16.7846
0.339					-31.1279	-7.93457	-27.4658	-11.5967    -15.8691
0.3395					-31.0303	-7.62939	-26.8555	-11.9019    -14.9536
0.34					-30.9326	-7.93457	-25.6348	-11.5967    -14.0381
0.3405					-30.8289	-7.32422	-26.5503	-9.76563    -16.78467
0.341					-30.7068	-6.10352	-28.6865	-12.8174    -15.8691
0.3415					-30.6152	-6.40869	-28.0762	-11.5967    -16.4795
0.342					-30.5054	-5.18799	-28.3813	-11.9019    -16.4794
0.3425					-30.4382	-7.32422	-25.9399	-14.3433    -11.5966
0.343					-30.3223	-6.71387	-26.2451	-12.207	    -14.0381
0.3435					-30.2246	-7.01904	-27.771		-12.8174    -14.9536
0.344					-30.1331	-6.10352	-28.6865	-13.7329    -14.9536
0.3445					-30.0293	-10.6812	-25.6348	-14.3433    -11.2915
0.345					-29.9194	-5.79834	-24.7192	-12.8174    -11.9018
0.3455					-29.8218	-7.62939	-26.8555	-12.207	    -14.6485
0.346					-29.7485	-7.62939	-23.8037	-10.9863    -12.8174
0.3465					-29.6448	-6.10352	-26.5503	-12.207	    -14.3433
0.347					-29.5105	-7.93457	-27.1606	-13.1226    -14.038
0.3475					-29.425		-7.32422	-29.2969	-14.3433    -14.9536
0.348					-29.3335	-8.23975	-27.1606	-11.2915    -15.8691
0.3485					-29.2297	-7.32422	-25.6348	-12.207	    -13.4278
0.349					-29.1077	-7.93457	-25.3296	-14.6484    -10.6812
0.3495					-29.0222	-7.93457	-27.771		-11.9019    -15.8691
0.35					-28.9246	-6.71387	-21.9727	-10.9863    -10.9864
0.3505					-28.8269	-6.10352	-23.8037	-13.7329    -10.0708
0.351					-28.7109	-8.8501		-21.6675	-12.207	    -9.4605
0.3515					-28.6194	-8.8501		-23.4985	-10.0708    -13.4277
0.352					-28.5278	-8.23975	-20.752		-9.46045    -11.29155
0.3525					-28.4058	-4.88281	-24.7192	-10.9863    -13.7329
0.353					-28.3386	-7.93457	-25.3296	-10.376	    -14.9536
0.3535					-28.2227	-4.88281	-24.4141	-11.9019    -12.5122
0.354					-28.1494	-6.40869	-24.7192	-12.207	    -12.5122
0.3545					-28.0273	-7.32422	-19.5313	-10.9863    -8.545
0.355					-27.948		-5.18799	-19.8364	-14.0381    -5.7983
0.3555					-27.8076	-8.8501		-19.2261	-10.9863    -8.2398
0.356					-27.7039	-7.01904	-23.1934	-10.9863    -12.2071
0.3565					-27.6001	-4.88281	-18.3105	-11.9019    -6.4086
0.357					-27.5024	-5.18799	-21.3623	-12.8174    -8.5449
0.3575					-27.4109	-6.40869	-18.9209	-7.62939    -11.29151
0.358					-27.3376	-3.35693	-21.0571	-13.4277    -7.6294
0.3585					-27.2156	-7.32422	-21.3623	-13.1226    -8.2397
0.359					-27.124		-3.96729	-20.1416	-11.2915    -8.8501
0.3595					-27.0325	-4.88281	-20.4468	-8.54492    -11.90188
0.36					-26.9287	-6.10352	-22.8882	-12.5122    -10.376
0.3605					-26.8372	-6.10352	-20.4468	-10.6812    -9.7656
0.361					-26.7273	-4.88281	-23.8037	-9.76563    -14.03807
0.3615					-26.6113	-6.10352	-24.1089	-10.376	    -13.7329
0.362					-26.5381	-5.49316	-18.6157	-11.9019    -6.7138
0.3625					-26.4465	-5.79834	-18.9209	-12.5122    -6.4087
0.363					-26.3245	-7.01904	-22.583		-8.8501	    -13.7329
0.3635					-26.2329	-5.79834	-20.1416	-11.5967    -8.5449
0.364					-26.1353	-8.23975	-19.5313	-11.9019    -7.6294
0.3645					-26.0132	-7.93457	-18.3105	-11.5967    -6.7138
0.365					-25.9155	-9.15527	-21.3623	-8.23975    -13.12255
0.3655					-25.824		-9.46045	-20.752		-10.0708    -10.6812
0.366					-25.7324	-6.40869	-18.9209	-9.15527    -9.76563
0.3665					-25.6104	-9.15527	-20.752		-10.376	    -10.376
0.367					-25.531		-7.93457	-20.752		-11.2915    -9.4605
0.3675					-25.4272	-8.54492	-18.3105	-9.15527    -9.15523
0.368					-25.3174	-7.01904	-20.752		-14.0381    -6.7139
0.3685					-25.2136	-7.01904	-19.8364	-11.9019    -7.9345
0.369					-25.1221	-10.6812	-21.9727	-10.9863    -10.9864
0.3695					-25.0366	-7.32422	-22.2778	-12.207	    -10.0708
0.37					-24.9451	-5.49316	-18.9209	-12.207	    -6.7139
0.3705					-24.8352	-5.79834	-20.1416	-10.376	    -9.7656
0.371					-24.7131	-7.93457	-17.0898	-12.5122    -4.5776
0.3715					-24.6094	-8.8501		-18.3105	-9.76563    -8.54487
0.372					-24.5544	-4.27246	-17.7002	-10.376	    -7.3242
0.3725					-24.4263	-6.10352	-20.4468	-10.6812    -9.7656
0.373					-24.3164	-6.10352	-20.4468	-10.9863    -9.4605
0.3735					-24.2188	-6.71387	-20.4468	-11.9019    -8.5449
0.374					-24.1455	-5.49316	-17.7002	-8.23975    -9.46045
0.3745					-24.0295	-7.01904	-19.2261	-10.0708    -9.1553
0.375					-23.9258	-9.46045	-15.8691	-7.62939    -8.23971
0.3755					-23.8281	-4.88281	-18.9209	-10.6812    -8.2397
0.376					-23.7427	-3.66211	-16.4795	-10.376	    -6.1035
0.3765					-23.6389	-5.49316	-18.0054	-10.9863    -7.0191
0.377					-23.5352	-4.27246	-18.6157	-10.9863    -7.6294
0.3775					-23.4436	-6.10352	-18.6157	-11.9019    -6.7138
0.378					-23.3215	-4.88281	-17.7002	-8.8501	    -8.8501
0.3785					-23.2483	-5.18799	-20.1416	-9.76563    -10.37597
0.379					-23.114		-9.76563	-16.1743	-9.76563    -6.40867
0.3795					-23.0286	-5.79834	-16.7847	-9.46045    -7.32425
0.38					-22.9248	-7.93457	-18.6157	-10.376	    -8.2397
0.3805					-22.8516	-5.79834	-15.2588	-10.376	    -4.8828
0.381					-22.7417	-5.18799	-20.752		-4.57764    -16.17436
0.3815					-22.6379	-5.18799	-16.7847	-11.2915    -5.4932
0.382					-22.5464	-5.79834	-17.0898	-3.96729    -13.12251
0.3825					-22.4426	-7.62939	-17.0898	-10.376	    -6.7138
0.383					-22.3206	-8.8501		-19.5313	-10.376	    -9.1553
0.3835					-22.2412	-4.88281	-19.2261	-11.2915    -7.9346
0.384					-22.1313	-7.01904	-16.7847	-8.23975    -8.54495
0.3845					-22.0215	-6.71387	-15.8691	-9.15527    -6.71383
0.385					-21.9299	-5.49316	-17.395		-12.5122    -4.8828
0.3855					-21.8323	-10.0708	-14.9536	-9.15527    -5.79833
0.386					-21.7346	-7.01904	-14.6484	-10.9863    -3.6621
0.3865					-21.6431	-4.57764	-15.8691	-11.2915    -4.5776
0.387					-21.5393	-5.18799	-17.0898	-10.376	    -6.7138
0.3875					-21.4417	-7.01904	-12.8174	-8.54492    -4.27248
0.388					-21.3562	-3.66211	-19.5313	-8.54492    -10.98638
0.3885					-21.2219	-6.40869	-18.6157	-13.4277    -5.188
0.389					-21.1548	-5.49316	-17.7002	-11.9019    -5.7983
0.3895					-21.0571	-3.66211	-21.6675	-9.15527    -12.51223
0.39					-20.9473	-4.57764	-20.1416	-7.93457    -12.20703
0.3905					-20.8496	-6.71387	-20.1416	-10.9863    -9.1553
0.391					-20.7214	-6.40869	-21.0571	-9.46045    -11.59665
0.3915					-20.636		-6.40869	-21.6675	-7.62939    -14.03811
0.392					-20.5261	-4.57764	-15.8691	-8.8501	    -7.019
0.3925					-20.4468	-4.88281	-18.0054	-8.54492    -9.46048
0.393					-20.3369	-4.88281	-21.0571	-7.93457    -13.12253
0.3935					-20.2393	-5.49316	-17.395		-5.79834    -11.59666
0.394					-20.1477	-6.10352	-18.6157	-8.8501	    -9.7656
0.3945					-20.05		-2.74658	-17.7002	-8.54492    -9.15528
0.395					-19.9341	-6.10352	-17.395		-8.8501	    -8.5449
0.3955					-19.8486	-4.57764	-13.4277	-8.54492    -4.88278
0.396					-19.7571	-3.96729	-15.8691	-8.23975    -7.62935
0.3965					-19.6533	-5.79834	-17.395		-8.23975    -9.15525
0.397					-19.5313	-5.18799	-15.8691	-7.01904    -8.85006
0.3975					-19.4519	-3.35693	-17.7002	-7.93457    -9.76563
0.398					-19.3604	-6.10352	-19.5313	-8.8501	    -10.6812
0.3985					-19.2505	-3.66211	-17.395		-7.01904    -10.37596
0.399					-19.1345	-5.79834	-12.207		-8.54492    -3.66208
0.3995					-19.0369	-6.71387	-12.8174	-6.40869    -6.40871
0.4					-18.9453	-5.79834	-16.7847	-10.9863    -5.7984
0.4005					-18.8416	-5.18799	-17.0898	-10.376	    -6.7138
0.401					-18.7317	-4.57764	-15.2588	-10.6812    -4.5776
0.4015					-18.6401	-3.66211	-18.6157	-7.62939    -10.98631
0.402					-18.5486	-4.27246	-18.3105	-8.54492    -9.76558
0.4025					-18.4326	-7.32422	-18.6157	-8.8501	    -9.7656
0.403					-18.3594	-3.66211	-17.395		-8.23975    -9.15525
0.4035					-18.2373	-7.62939	-18.9209	-7.62939    -11.29151
0.404					-18.1702	-1.52588	-17.395		-6.10352    -11.29148
0.4045					-18.0359	-5.49316	-16.4795	-8.8501	    -7.6294
0.405					-17.9626	-4.88281	-15.564		-9.46045    -6.10355
0.4055					-17.8345	-5.18799	-15.2588	-9.15527    -6.10353
0.406					-17.7429	-4.27246	-17.395		-7.01904    -10.37596
0.4065					-17.6392	-3.35693	-17.0898	-11.5967    -5.4931
0.407					-17.5293	-5.18799	-16.1743	-6.71387    -9.46043
0.4075					-17.4438	-4.88281	-20.1416	-10.0708    -10.0708
0.408					-17.3706	-4.27246	-16.1743	-8.23975    -7.93455
