Voltage					Control		100nM IbTX	IbTX sensitive (diff)
-40.4794				-1.92261	-0.268555	-1.654055
-40.3818				-1.52588	-0.463867	-1.062013
-40.2032				-1.98364	0.146484	-2.130124
-40.0034				-2.19727	0.634766	-2.832036
-39.924					-1.83105	-0.610351	-1.220699
-39.7714				-1.49536	0.024414	-1.519774
-39.6463				-1.28174	1.61133		-2.89307
-39.4922				-1.67847	0.219727	-1.898197
-39.3289				-0.274658	3.36914		-3.643798
-39.155					-1.37329	0.146484	-1.519774
-39.0527				-1.83105	1.31836		-3.14941
-38.8773				-1.19019	-0.244141	-0.946049
-38.7415				-0.762939	0.317383	-1.080322
-38.5431				-0.12207	0.634766	-0.756836
-38.4805				-1.64795	0.65918		-2.30713
-38.3371				-3.26538	0.439453	-3.704833
-38.2135				-2.41089	-0.244141	-2.166749
-38.0792				-0.88501	0.268555	-1.153565
-37.8946				-0.88501	-0.537109	-0.347901
-37.7481				-1.15967	1.48926		-2.64893
-37.6382				-1.34277	0.976562	-2.319332
-37.475					-1.5564		0.317383	-1.873783
-37.3392				-1.09863	0.268555	-1.367185
-37.1622				0.12207		1.09863		-0.97656
-36.9974				-0.183106	1.46484		-1.647946
-36.8753				-0.671387	0.830078	-1.501465
-36.7731				-0.854492	-0.561523	-0.292969
-36.5411				1.92261		1.26953		0.65308
-36.4206				-0.823974	0.463867	-1.287841
-36.3107				0.549316	-0.537109	1.086425
-36.123					-1.86157	0.610352	-2.471922
-36.001					0.549316	1.36719		-0.817874
-35.853					0.762939	0.341797	0.421142
-35.7156				-1.06812	0.634766	-1.702886
-35.6058				-0.579834	0.634766	-1.2146
-35.383					-1.61743	0.927734	-2.545164
-35.2686				-1.2207		0.390625	-1.611325
-35.0916				-1.28174	0.366211	-1.647951
-35.0443				-1.06812	0.268555	-1.336675
-34.8276				-1.64795	1.66016		-3.30811
-34.7635				-2.38037	0.0244141	-2.4047841
-34.5407				-2.53296	-1.51367	-1.01929
-34.3851				-0.854492	1.92871		-2.783202
-34.2615				0.183105	0.268555	-0.08545
-34.1592				-0.671387	1.09863		-1.770017
-33.97					0.823974	0.512695	0.311279
-33.8052				-0.915527	0.341797	-1.257324
-33.6664				-1.49536	-0.0732422	-1.4221178
-33.4879				-1.61743	1.0498		-2.66723
-33.4299				0.183105	0.0976562	0.0854488
-33.2346				-0.0915527	1.00098		-1.0925327
-33.1262				0.640869	1.2207		-0.579831
-33.0057				0.305176	-0.415039	0.720215
-32.789					-0.427246	1.68457		-2.111816
-32.6288				0.335693	1.3916		-1.055907
-32.5601				-0.457764	1.14746		-1.605224
-32.3694				-0.915527	0.78125		-1.696777
-32.226					1.15967		1.78223		-0.62256
-32.0642				-1.2207		1.46484		-2.68554
-31.9147				-0.396728	2.51465		-2.911378
-31.8079				-0.488281	0.854492	-1.342773
-31.6522				-1.15967	1.66016		-2.81983
-31.5042				0.88501		1.87988		-0.99487
-31.3913				1.31226		1.3916		-0.07934
-31.2189				0.946045	-0.341797	1.287842
-31.1273				-0.366211	2.6123		-2.978511
-30.9656				0.244141	2.34375		-2.099609
-30.7489				0.488281	0.268555	0.219726
-30.6284				0.335693	2.27051		-1.934817
-30.4956				-0.671387	-0.146484	-0.524903
-30.3522				-0.152588	1.2207		-1.373288
-30.2469				0.305176	2.00195		-1.696774
-30.0729				0.915527	2.63672		-1.721193
-29.9265				-0.274658	3.02734		-3.301998
-29.8257				-1.31226	2.27051		-3.58277
-29.6075				-1.70898	1.46484		-3.17382
-29.4275				0.88501		2.56348		-1.67847
-29.3512				-0.0610352	2.17285		-2.2338852
-29.1788				0.244141	2.85644		-2.612299
-29.0155				-1.12915	1.7334		-2.86255
-28.9224				0.183105	1.9043		-1.721195
-28.7607				0.762939	2.49023		-1.727291
-28.6005				-0.854492	1.46484		-2.319332
-28.541					0.0915527	2.9541		-2.8625473
-28.3365				-0.549316	1.41602		-1.965336
-28.1702				-0.915527	2.31934		-3.234867
-28.0466				-0.152588	1.00098		-1.153568
-27.8619				0.0305176	3.85742		-3.8269024
-27.7734				0.732422	2.39258		-1.660158
-27.5583				0.671387	2.41699		-1.745603
-27.4667				0.518799	1.29395		-0.775151
-27.2836				-0.0610351	2.39258		-2.4536151
-27.1021				0.823974	2.00195		-1.177976
-26.9922				0.335693	2.0752		-1.739507
-26.8793				0.762939	3.4668		-2.703861
-26.7984				1.49536		3.56445		-2.06909
-26.5634				1.46484		2.9541		-1.48926
-26.4474				1.58691		2.39258		-0.80567
-26.3086				0.12207		3.10059		-2.97852
-26.1835				1.98364		2.58789		-0.60425
-26.0889				2.31934		1.83105		0.48829
-25.8646				0.305176	2.56348		-2.258304
-25.7043				0.915527	3.93066		-3.015133
-25.5716				1.5564		3.22266		-1.66626
-25.4297				1.80054		2.7832		-0.98266
-25.303					0.457764	2.90527		-2.447506
-25.2161				0.701904	2.7832		-2.081296
-25.0162				-0.854492	4.07715		-4.931642
-24.9185				2.13623		6.71387		-4.57764
-24.7186				3.14331		3.05176		0.09155
-24.5752				1.7395		2.80762		-1.06812
-24.4424				1.92261		2.53906		-0.61645
-24.3143				0.305176	4.32129		-4.016114
-24.1571				2.59399		3.51562		-0.92163
-24.0518				1.31226		3.2959		-1.98364
-23.8596				1.2207		2.46582		-1.24512
-23.7192				2.83813		2.92969		-0.09156
-23.562					1.49536		2.39258		-0.89722
-23.3926				2.80762		4.37012		-1.5625
-23.2538				0.671387	2.80762		-2.136233
-23.1058				2.68555		3.85742		-1.17187
-22.9913				3.2959		2.83203		0.46387
-22.8616				1.92261		3.07617		-1.15356
-22.6846				1.61743		3.97949		-2.36206
-22.5824				2.28882		3.93066		-1.64184
-22.4313				3.44849		4.19922		-0.75073
-22.2757				2.74658		2.9541		-0.20752
-22.0621				1.49536		3.4668		-1.97144
-21.9217				3.08228		2.27051		0.81177
-21.8683				4.18091		3.36914		0.81177
-21.6547				1.15967		3.88184		-2.72217
-21.5326				2.83813		3.36914		-0.53101
-21.4044				1.64795		3.78418		-2.13623
-21.1908				4.42505		3.07617		1.34888
-21.0733				2.41089		3.41797		-1.00708
-20.9512				3.14331		5.00488		-1.86157
-20.7986				3.14331		4.90723		-1.76392
-20.6644				3.17383		4.56543		-1.3916
-20.5148				3.38745		4.54102		-1.15357
-20.4065				4.05884		4.27246		-0.21362
-20.2234				2.38037		3.41797		-1.0376
-20.1013				2.62451		5.95703		-3.33252
-19.97162				3.69263		5.34668		-1.65405
-19.81293				2.71606		5.05371		-2.33765
-19.69238				0.854492	3.78418		-2.929688
-19.57336				3.02124		6.10352		-3.08228
-19.36584				1.89209		4.56543		-2.67334
-19.23615				2.74658		4.24805		-1.50147
-19.07898				4.08935		4.78516		-0.69581
-18.90045				3.63159		4.95605		-1.32446
-18.79974				3.54004		4.39453		-0.85449
-18.62274				4.76074		3.83301		0.92773
-18.47015				2.19727		5.27344		-3.07617
-18.38318				4.60815		5.17578		-0.56763
-18.26569				1.89209		5.61523		-3.72314
-18.09326				4.18091		4.66309		-0.48218
-17.92999				3.93677		4.80957		-0.8728
-17.72705				5.15747		4.6875		0.46997
-17.61108				4.15039		5.12695		-0.97656
-17.48901				4.66919		4.90723		-0.23804
-17.37762				3.32642		3.54004		-0.21362
-17.17468				4.48608		4.02832		0.45776
-17.01904				3.90625		6.0791		-2.17285
-16.94427				5.06592		5.78613		-0.72021
-16.77948				5.34058		5.49316		-0.15258
-16.62689				4.05884		5.68848		-1.62964
-16.45294				4.27246		6.51855		-2.24609
-16.36444				4.60815		4.73633		-0.12818
-16.14929				4.91333		6.0791		-1.16577
-16.05469				4.57764		5.59082		-1.01318
-15.89142				4.94385		4.71191		0.23194
-15.76324				3.2959		6.22558		-2.92968
-15.57098				4.08935		5.34668		-1.25733
-15.44586				3.11279		5.66406		-2.55127
-15.29022				4.30298		3.49121		0.81177
-15.20935				6.2561		6.25		0.0061
-15.02777				6.19507		5.81055		0.38452
-14.87976				5.00488		5.07812		-0.07324
-14.73938				4.48608		5.27344		-0.78736
-14.58221				4.94385		6.03027		-1.08642
-14.49219				5.43213		6.12793		-0.6958
-14.3045				6.2561		5.51758		0.73852
-14.14734				4.21143		6.4209		-2.20947
-14.03137				4.11987		6.61621		-2.49634
-13.87573				4.27246		6.39648		-2.12402
-13.71246				5.18799		6.66504		-1.47705
-13.55225				6.19507		5.10254		1.09253
-13.41797				7.14111		6.17676		0.96435
-13.28217				4.66919		6.61621		-1.94702
-13.11432				5.49316		6.93359		-1.44043
-13.01819				4.82178		6.39648		-1.5747
-12.82593				6.073		6.95801		-0.88501
-12.75726				6.43921		6.68945		-0.25024
-12.57111				3.9978		6.61621		-2.61841
-12.40326				6.04248		7.22656		-1.18408
-12.32086				6.7749		7.49512		-0.72022
-12.16827				8.05664		7.17773		0.87891
-12.01416				6.31714		6.37207		-0.05493
-11.83563				5.88989		5.81055		0.07934
-11.71661				6.2561		6.81152		-0.55542
-11.53656				6.2561		6.76269		-0.50659
-11.37939				6.37817		6.83594		-0.45777
-11.24207				6.68335		8.20312		-1.51977
-11.14746				7.65991		6.20117		1.45874
-10.976563				5.70679		7.66601		-1.95922
-10.836182				8.97217		7.34863		1.62354
-10.660706				7.11059		7.59277		-0.48218
-10.559998				6.28662		7.17773		-0.89111
-10.366211				8.39233		10.7666		-2.37427
-10.233459				8.05664		7.9834		0.07324
-10.117493				8.63647		8.27637		0.3601
-10.012207				6.71387		7.2998		-0.58593
-9.809265				7.14111		8.71582		-1.57471
-9.656677				7.26318		5.76172		1.50146
-9.554443				8.05664		7.71484		0.3418
-9.403381				10.0403		6.46973		3.57057
-9.255371				8.63647		7.91016		0.72631
-9.119568				8.45337		9.15527		-0.7019
-8.97003				7.01904		7.17773		-0.15869
-8.86475				7.96509		7.00683		0.95826
-8.68164				8.88061		7.91016		0.97045
-8.48022				9.00268		7.56836		1.43432
-8.37952				7.72095		7.6416		0.07935
-8.24371				6.83594		7.51953		-0.68359
-8.14148				6.62231		7.71484		-1.09253
-7.94769				8.48389		7.66601		0.81788
-7.85309				9.64355		6.61621		3.02734
-7.68829				8.60596		7.61719		0.98877
-7.45178				7.1106		8.69141		-1.58081
-7.3526					9.46045		6.61621		2.84424
-7.21069				7.84302		5.39551		2.44751
-7.03827				10.2234		7.05566		3.16774
-6.8689					10.437		7.54394		2.89306
-6.77582				7.78198		8.8623		-1.08032
-6.64917				7.17163		9.0332		-1.86157
-6.55762				9.27734		7.27539		2.00195
-6.35468				13.3667		7.34863		6.01807
-6.22345				8.14819		7.37305		0.77514
-6.07239				8.05664		8.47168		-0.41504
-5.90912				9.12475		6.71387		2.41088
-5.77637				9.0332		7.2998		1.7334
-5.60089				6.43921		8.1543		-1.71509
-5.50323				8.02612		8.66699		-0.64087
-5.32013				9.79614		8.98437		0.81177
-5.23926				10.9863		8.88672		2.09958
-5.03937				10.498		9.30176		1.19624
-4.94019				10.1318		8.69141		1.44039
-4.7464					9.30786		9.13086		0.177
-4.58466				11.0474		8.42285		2.62455
-4.46411				8.97217		9.49707		-0.5249
-4.32526				9.94873		9.66797		0.28076
-4.20166				11.8408		8.91113		2.92967
-4.03839				11.9324		9.375		2.5574
-3.92395				10.4675		9.2041		1.2634
-3.77594				10.437		7.73926		2.69774
-3.60504				9.30786		7.34863		1.95923
-3.49213				10.8032		10.0098		0.7934
-3.31818				9.39941		7.2998		2.09961
-3.13812				10.0098		8.54492		1.46488
-3.02063				10.3455		7.91016		2.43534
-2.92145				10.7422		8.95996		1.78224
-2.72919				11.6882		8.27637		3.41183
-2.55219				11.4441		8.42285		3.02125
-2.49115				10.7117		8.30078		2.41092
-2.32635				11.6882		8.8623		2.8259
-2.15546				13.3362		9.32617		4.01003
-1.99219				10.3455		9.08203		1.26347
-1.90216				9.64355		9.59473		0.04882
-1.74805				11.9934		10.791		1.2024
-1.61377				9.12475		11.1328		-2.00805
-1.41693				11.9324		9.81445		2.11795
-1.34521				9.49097		8.49609		0.99488
-1.17279				10.6201		10.4492		0.1709
-1.00189				9.94873		9.13086		0.81787
-0.85388				9.552		9.25293		0.29907
-0.72418				8.66699		9.76562		-1.09863
-0.55023				10.7422		9.91211		0.83009
-0.46783				8.60596		10.1318		-1.52584
-0.26489				11.0779		9.5459		1.532
-0.10773				10.6201		10.1318		0.4883
0.0296					12.5427		10.4736		2.0691
0.1654					8.39233		10.5957		-2.20337
0.3149					11.1084		10.1318		0.9766
0.495					13.8855		11.084		2.8015
0.611					10.7727		11.1328		-0.3601
0.7529					11.3525		9.30176		2.05074
0.9146					11.5356		10.2051		1.3305
1.0123					10.8032		10.2783		0.5249
1.1664					14.4043		9.52148		4.88282
1.322					12.1155		10.6445		1.471
1.4685					13.3667		10.6201		2.7466
1.6119					12.2681		9.39941		2.86869
1.7691					11.7187		10.1807		1.538
1.8942					11.0474		9.39941		1.64799
2.0499					10.4675		8.56933		1.89817
2.1765					11.322		10.0098		1.3122
2.3535					11.7493		9.61914		2.13016
2.471					12.6648		10.5225		2.1423
2.6297					10.4065		11.5723		-1.1658
2.7304					9.64355		9.10644		0.53711
2.8784					11.0779		10.4004		0.6775
3.0768					9.552		11.0107		-1.4587
3.1973					12.9395		10.2295		2.71
3.3392					12.4512		12.2559		0.1953
3.4613					13.0615		11.4258		1.6357
3.623					11.0168		10.4736		0.5432
3.7512					12.7869		10.2783		2.5086
3.8748					12.0544		11.5479		0.5065
3.9877					13.4888		13.3301		0.1587
4.2258					12.4512		11.4014		1.0498
4.3509					11.0779		12.2314		-1.1535
4.5096					13.2141		12.3291		0.885
4.6652					13.3057		10.6934		2.6123
4.7949					12.9089		10.2539		2.655
4.9002					11.2305		11.4014		-0.1709
5.1016					11.8408		11.0596		0.7812
5.1764					12.8174		9.98535		2.83205
5.3809					14.0991		12.3535		1.7456
5.5212					13.0615		11.5479		1.5136
5.6525					12.6953		11.499		1.1963
5.8035					12.146		9.91211		2.23389
5.9088					12.8479		10.791		2.0569
6.0889					13.0615		10.6201		2.4414
6.2659					14.1602		10.4492		3.711
6.333					13.2751		10.7422		2.5329
6.5222					12.6953		10.8154		1.8799
6.6779					12.7563		10.7422		2.0141
6.861					13.8245		10.1807		3.6438
6.9449					15.1672		11.4014		3.7658
7.1402					15.3198		10.1807		5.1391
7.2394					14.1602		12.7441		1.4161
7.3676					12.6343		12.9395		-0.3052
7.4973					14.7705		11.9629		2.8076
7.6498					13.5498		12.6953		0.8545
7.807					12.8784		11.4502		1.4282
7.9703					13.4277		11.1328		2.2949
8.1183					13.2751		11.9873		1.2878
8.2709					11.6882		12.0117		-0.3235
8.4448					12.1155		10.8398		1.2757
8.5623					14.74		12.7441		1.9959
8.7088					12.6953		10.8398		1.8555
8.8324					13.4888		13.2812		0.2076
8.9377					11.6882		12.2314		-0.5432
9.1269					12.5122		12.4512		0.061
9.2627					14.2517		13.1103		1.1414
9.458					14.0381		12.6465		1.3916
9.606					12.5732		14.624		-2.0508
9.6976					14.1907		11.9629		2.2278
9.8944					12.7563		14.2578		-1.5015
10.0287					13.6108		12.0361		1.5747
10.1355					13.1836		13.5254		-0.3418
10.311					13.7634		16.0645		-2.3011
10.4422					14.2822		14.0137		0.2685
10.5597					15.6555		14.1846		1.4709
10.7321					15.1978		11.6211		3.5767
10.8649					14.0381		14.209		-0.1709
10.9702					15.5334		13.9893		1.5441
11.1548					13.0005		14.917		-1.9165
11.3242					13.2751		9.81445		3.46065
11.4417					15.0452		12.2559		2.7893
11.5942					15.3503		13.208		2.1423
11.7026					15.8997		13.7451		2.1546
11.8933					16.0522		13.6475		2.4047
12.0352					13.2751		12.7197		0.5554
12.1512					13.1531		12.8906		0.2625
12.3251					14.7095		10.9619		3.7476
12.4884					15.2893		11.6943		3.595
12.6059					13.5498		12.4512		1.0986
12.7219					12.6343		13.3301		-0.6958
12.8531					13.3362		13.0615		0.2747
13.024					16.8152		11.792		5.0232
13.1125					14.4348		15.5762		-1.1414
13.3261					14.2517		14.502		-0.2503
13.4619					13.4583		15.332		-1.8737
13.5458					15.9302		15.1855		0.7447
13.6893					16.7236		13.2812		3.4424
13.9075					12.2681		14.4043		-2.1362
14.0295					14.801		14.0869		0.7141
14.1653					11.6577		13.6475		-1.9898
14.379					13.0615		13.0859		-0.0244
14.5087					13.3667		12.3535		1.0132
14.6399					13.8245		12.5		1.3245
14.7635					15.8386		12.8418		2.9968
14.9359					16.1743		13.2568		2.9175
15.0824					16.0828		14.2578		1.825
15.2304					13.8245		12.3047		1.5198
15.4013					14.5874		13.3789		1.2085
15.5234					16.571		13.5498		3.0212
15.6348					14.5264		11.3525		3.1739
15.827					15.0757		12.3291		2.7466
15.9476					15.4114		11.9873		3.4241
16.0559					15.4114		10.2051		5.2063
16.2131					13.855		12.0117		1.8433
16.3596					14.5569		14.3555		0.2014
16.4954					18.28		13.5498		4.7302
16.6708					15.9302		13.5254		2.4048
16.8158					14.3738		15.4785		-1.1047
16.915					18.4631		12.6465		5.8166
17.1042					14.3127		15.3564		-1.0437
17.2324					15.4419		15.8447		-0.4028
17.3224					16.4795		14.4287		2.0508
17.533					17.5781		15.0879		2.4902
17.6428					17.6392		15.0146		2.6246
17.8198					16.9983		17.1631		-0.1648
18.0014					17.4561		17.0654		0.3907
18.0579					16.7847		15.7227		1.062
18.1952					18.219		14.4531		3.7659
18.4027					18.3716		15.1123		3.2593
18.5477					18.9209		19.0674		-0.1465
18.6621					15.8386		14.2822		1.5564
18.7979					17.6697		13.8672		3.8025
18.9078					14.8315		14.2578		0.5737
19.1382					14.2212		16.1621		-1.9409
19.2709					16.6931		14.6484		2.0447
19.4266					16.2964		13.2568		3.0396
19.5242					15.4114		13.9404		1.471
19.6402					17.9138		15.0391		2.8747
19.7958					17.3035		18.8721		-1.5686
19.9393					19.165		16.4551		2.7099
20.0797					15.9607		14.4287		1.532
20.307					19.2871		15.918		3.3691
20.4276					17.2729		16.4795		0.7934
20.5603					21.1487		14.624		6.5247
20.748					16.6321		14.502		2.1301
20.8533					19.2261		14.0137		5.2124
20.983					19.6228		12.6709		6.9519
21.1005					17.1814		15.7227		1.4587
21.311					16.2353		15.7471		0.4882
21.4301					17.7917		15.6494		2.1423
21.5659					17.4866		17.1875		0.2991
21.7154					22.3999		15.8203		6.5796
21.7703					15.9912		15.5273		0.4639
21.9336					17.2424		15.918		1.3244
22.1228					16.7236		16.2353		0.4883
22.2906					18.158		15.625		2.533
22.4081					16.6626		16.7725		-0.1099
22.518					19.7754		15.918		3.8574
22.6889					18.8599		16.6992		2.1607
22.869					17.1814		17.4072		-0.2258
23.0627					19.104		16.333		2.771
23.1573					20.7214		16.3818		4.3396
23.3618					19.6533		15.7959		3.8574
23.4778					18.3716		15.1855		3.1861
23.5785					23.3154		15.7715		7.5439
23.7128					22.644		16.3818		6.2622
23.9355					21.2708		17.1387		4.1321
23.9951					22.0947		17.041		5.0537
24.2163					18.3411		15.7715		2.5696
24.3185					21.3928		16.2109		5.1819
24.4849					18.28		19.3848		-1.1048
24.6039					19.5007		15.8691		3.6316
24.7549					21.3318		17.8223		3.5095
24.8984					19.989		16.2598		3.7292
25.0128					18.7988		14.7705		4.0283
25.1303					21.3318		15.0635		6.2683
25.379					17.9443		14.9414		3.0029
25.4477					21.3928		17.0898		4.303
25.6476					25.6958		18.7256		6.9702
25.8246					21.8811		19.2871		2.594
25.907					23.2239		20.4102		2.8137
26.0718					22.0947		19.043		3.0517
26.1923					18.7073		18.9453		-0.238
26.3754					23.1323		16.2842		6.8481
26.5097					20.874		18.6279		2.2461
26.5631					24.8413		16.9189		7.9224
26.7676					19.1345		15.1855		3.949
26.9049					20.813		17.1387		3.6743
27.0132					21.8811		20.2393		1.6418
27.2238					22.8882		16.9189		5.9693
27.3459					21.4539		18.457		2.9969
27.4725					23.9868		18.3838		5.603
27.6175					18.9209		16.6748		2.2461
27.7747					21.8811		15.6006		6.2805
27.9272					19.5007		16.7725		2.7282
28.0203					23.8953		20.4834		3.4119
28.2095					20.9045		17.749		3.1555
28.385					22.1558		20.3369		1.8189
28.5117					21.8201		20.5566		1.2635
28.6658					19.4092		17.334		2.0752
28.8351					22.0032		20.2393		1.7639
28.9557					20.8435		20.0439		0.7996
29.0869					24.6582		19.2383		5.4199
29.1922					26.0925		17.7002		8.3923
29.3784					21.4233		18.2129		3.2104
29.4791					21.5759		20.9473		0.6286
29.624					21.1792		18.1885		2.9907
29.8285					24.9329		16.9434		7.9895
29.9826					23.7427		16.1133		7.6294
30.1154					21.7285		17.7734		3.9551
30.2466					21.1182		17.041		4.0772
30.4007					23.1628		16.1377		7.0251
30.5075					23.8953		19.0186		4.8767
30.6906					25.5737		18.8477		6.726
30.8401					26.4282		20.3125		6.1157
30.9622					29.1138		19.4336		9.6802
31.124					30.9143		18.1885		12.7258
31.2766					27.8625		18.3838		9.4787
31.3712					28.5339		17.4072		11.1267
31.5527					25.8789		18.4814		7.3975
31.6824					20.4773		21.2646		-0.7873
31.7908					23.3459		22.0215		1.3244
31.9998					22.4915		27.9053		-5.4138
32.1082					22.3999		24.0478		-1.6479
32.2607					26.5198		19.458		7.0618
32.4469					23.6206		19.873		3.7476
32.54					21.4539		21.3379		0.116
32.7048					20.2026		19.0186		1.184
32.8253					22.583		17.2363		5.3467
33.0191					21.9421		20.874		1.0681
33.1656					22.3083		19.9463		2.362
33.3029					25.6958		20.5811		5.1147
33.4387					26.947		19.4336		7.5134
33.6172					24.5666		19.8486		4.718
33.6951					21.0876		24.292		-3.2044
